period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales
2023-12,LA,Louisiana,IND,industrial,18191,5.84,185.3438,3175.74584
2023-12,ME,Maine,IND,industrial,2000,13.7,24.19577,176.63749
2023-12,MD,Maryland,IND,industrial,9256,10.17,28.94694,284.50093
2023-12,MA,Massachusetts,IND,industrial,10354,17.66,82.7302,468.39194
2023-12,MI,Michigan,IND,industrial,5673,8.29,186.42009,2248.3793
2022-06,US,U.S. Total,IND,industrial,1068161,8.85,7854.35491,88715.71321
2024-01,IA,Iowa,IND,industrial,8323,6.48,145.24635,2241.74689
2024-01,KS,Kansas,IND,industrial,23936,8.1,73.59173,908.15969
2024-01,KY,Kentucky,IND,industrial,5931,7.18,156.5293,2181.01329
2024-01,LA,Louisiana,IND,industrial,18148,5.75,191.47356,3331.1467
2024-07,MA,Massachusetts,IND,industrial,10121,18.33,91.19774,497.47938
2024-07,MI,Michigan,IND,industrial,5680,8.51,210.11482,2469.85023
2024-07,MN,Minnesota,IND,industrial,9541,9.77,172.7597,1768.84017
2024-07,MS,Mississippi,IND,industrial,11410,6.95,98.42802,1415.89598
2024-07,MO,Missouri,IND,industrial,9207,9.02,106.97755,1186.51238
2024-07,MT,Montana,IND,industrial,14125,8.12,36.11491,444.8332
2024-07,NE,Nebraska,IND,industrial,66234,7.87,93.38655,1186.98782
2024-07,NV,Nevada,IND,industrial,4958,9.93,123.72917,1245.87419
2024-07,NH,New Hampshire,IND,industrial,6240,15.96,32.80875,205.56621
2024-07,NJ,New Jersey,IND,industrial,11236,13.06,70.54052,540.07287
2024-07,NM,New Mexico,IND,industrial,9716,5.69,69.08687,1213.57659
2024-07,AL,Alabama,IND,industrial,7250,7.36,205.5112,2790.63639
2024-07,AK,Alaska,IND,industrial,1217,19.15,21.87263,114.22738
2024-07,AZ,Arizona,IND,industrial,7125,9.03,117.19322,1297.95161
2024-07,AR,Arkansas,IND,industrial,41799,6.92,123.09745,1777.74954
2024-07,CA,California,IND,industrial,152098,26.12,1159.54107,4439.63391
2024-07,CO,Colorado,IND,industrial,15037,9.32,132.4911,1421.38697
2024-07,CT,Connecticut,IND,industrial,3837,17.26,40.00493,231.75552
2024-07,DE,Delaware,IND,industrial,741,8.52,15.03803,176.44243
2024-07,DC,District of Columbia,IND,industrial,1,11.47,1.7871,15.58414
2024-07,FL,Florida,IND,industrial,27293,8.42,128.60143,1526.69579
2024-07,GA,Georgia,IND,industrial,24553,8.86,262.19994,2960.42185
2024-07,HI,Hawaii,IND,industrial,816,33.11,100.46056,303.40896
2024-07,ID,Idaho,IND,industrial,29818,8.44,111.54656,1321.61689
2024-07,IL,Illinois,IND,industrial,5464,9.39,335.95933,3579.16096
2024-07,IN,Indiana,IND,industrial,18586,8.2,306.7969,3740.16061
2024-07,IA,Iowa,IND,industrial,8637,8.27,193.00632,2332.69061
2024-07,KS,Kansas,IND,industrial,24929,8.35,86.95101,1040.8549
2024-07,KY,Kentucky,IND,industrial,5331,6.69,153.56316,2295.46204
2024-07,LA,Louisiana,IND,industrial,18458,5.62,208.40803,3708.70424
2024-07,ME,Maine,IND,industrial,1872,13.39,25.95852,193.9025
2024-07,MD,Maryland,IND,industrial,9067,11.06,36.58502,330.65782
2022-09,NE,Nebraska,IND,industrial,66779,7.52,87.56207,1164.17919
2022-09,NV,Nevada,IND,industrial,3537,11.28,126.2159,1118.51381
2022-09,NH,New Hampshire,IND,industrial,3164,15.33,25.36188,165.39602
2022-09,NJ,New Jersey,IND,industrial,11346,12.98,67.63824,521.23686
2022-09,NC,North Carolina,IND,industrial,9245,7.29,158.2823,2172.29267
2022-09,ND,North Dakota,IND,industrial,9206,7.31,74.35175,1017.10552
2022-09,OH,Ohio,IND,industrial,19301,7.79,327.11575,4200.37759
2022-09,OK,Oklahoma,IND,industrial,20124,7.59,138.05638,1819.08316
2022-09,OR,Oregon,IND,industrial,26951,7.41,116.11699,1568.09511
2024-04,NEW,New England,IND,industrial,20996,15.91,177.73066,1117.29294
2024-04,MAT,Middle Atlantic,IND,industrial,42698,7.92,471.14918,5949.31825
2024-04,ENC,East North Central,IND,industrial,54124,7.89,1184.2379,15005.88098
2024-04,WNC,West North Central,IND,industrial,131411,7.36,606.02154,8239.25446
2024-04,SAT,South Atlantic,IND,industrial,88058,7.4,843.75265,11397.9014
2024-04,ESC,East South Central,IND,industrial,24457,6.78,527.56696,7780.69158
2024-04,WSC,West South Central,IND,industrial,433420,5.83,1095.97787,18802.51509
2024-04,MTN,Mountain,IND,industrial,99702,7.27,499.94528,6877.58279
2024-04,PACC,Pacific Contiguous,IND,industrial,199863,13.22,835.95838,6323.01344
2024-04,PACN,Pacific Noncontiguous,IND,industrial,2018,31.08,120.41463,387.48793
2024-04,US,U.S. Total,IND,industrial,1096747,7.77,6362.75504,81880.93885
2024-04,OK,Oklahoma,IND,industrial,18531,5.31,98.23482,1849.07816
2024-04,OR,Oregon,IND,industrial,25641,7.16,95.59173,1335.67571
2024-04,PA,Pennsylvania,IND,industrial,14801,7.6,317.28021,4173.91252
2023-03,PACC,Pacific Contiguous,IND,industrial,206963,12.2,757.58913,6209.99986
2023-03,PACN,Pacific Noncontiguous,IND,industrial,1946,32.27,127.12125,393.90116
2023-03,US,U.S. Total,IND,industrial,1061218,7.8,6460.45854,82817.07913
2023-12,AL,Alabama,IND,industrial,7209,6.8,176.39835,2594.83092
2023-12,AK,Alaska,IND,industrial,1175,20.55,24.34964,118.49458
2023-12,AZ,Arizona,IND,industrial,7500,7.86,91.63267,1166.2807
2023-12,AR,Arkansas,IND,industrial,35614,6.33,96.52474,1524.11124
2023-12,CA,California,IND,industrial,146640,17.99,582.45146,3238.52613
2023-12,CO,Colorado,IND,industrial,15271,8.17,100.55349,1230.28108
2023-12,CT,Connecticut,IND,industrial,3874,16.28,30.61491,188.02759
2023-12,DE,Delaware,IND,industrial,878,7.52,11.27975,149.97939
2023-12,DC,District of Columbia,IND,industrial,1,10.93,1.73406,15.86543
2023-12,FL,Florida,IND,industrial,26428,9.08,132.42599,1458.00899
2023-12,GA,Georgia,IND,industrial,24007,6.23,157.35071,2524.64591
2023-12,HI,Hawaii,IND,industrial,815,35.4,100.86156,284.91185
2023-12,ID,Idaho,IND,industrial,29352,6.21,33.36188,537.15437
2023-12,IL,Illinois,IND,industrial,5507,8.1,277.7249,3428.78068
2023-12,IN,Indiana,IND,industrial,19381,7.87,259.08809,3291.55086
2023-12,IA,Iowa,IND,industrial,9701,5.97,134.89307,2260.17982
2023-12,KS,Kansas,IND,industrial,23793,7.14,65.11403,912.24452
2023-12,KY,Kentucky,IND,industrial,5103,6.36,142.39301,2238.69395
2009-10,NM,New Mexico,IND,industrial,6917,5.75,31.55941,549.17204
2009-10,NY,New York,IND,industrial,8540,8.46,97.06128,1147.33119
2009-10,NC,North Carolina,IND,industrial,11338,6.18,130.49996,2112.4257
2009-10,ND,North Dakota,IND,industrial,2510,5.24,16.58244,316.72952
2009-10,OH,Ohio,IND,industrial,21009,6.39,281.5286,4404.95705
2009-10,OK,Oklahoma,IND,industrial,17737,4.43,52.51551,1185.01364
2009-10,OR,Oregon,IND,industrial,22703,5.57,55.96498,1004.07487
2009-10,PA,Pennsylvania,IND,industrial,27396,7.24,268.5235,3708.07951
2009-10,RI,Rhode Island,IND,industrial,2011,12.55,9.48963,75.6112
2009-10,SC,South Carolina,IND,industrial,4438,5.76,125.40758,2177.06137
2009-10,SD,South Dakota,IND,industrial,2835,5.64,10.71666,190.00674
2009-10,TN,Tennessee,IND,industrial,2023,6.4,149.96478,2344.49324
2009-10,TX,Texas,IND,industrial,126603,6.32,516.48741,8170.1932
2009-10,UT,Utah,IND,industrial,9493,5.11,34.98717,684.10588
2009-10,VT,Vermont,IND,industrial,225,9.19,10.39957,113.21218
2009-10,VA,Virginia,IND,industrial,5270,6.81,100.10299,1470.88088
2009-10,WA,Washington,IND,industrial,26298,4.55,89.47485,1967.65008
2009-10,WV,West Virginia,IND,industrial,12229,5.27,49.32912,935.7037
2009-10,WI,Wisconsin,IND,industrial,4068,6.61,128.82485,1947.89392
2009-10,WY,Wyoming,IND,industrial,8715,5.11,44.31969,867.52847
2009-10,NEW,New England,IND,industrial,29341,13.2,313.32603,2373.24286
2019-12,DE,Delaware,IND,industrial,862,7.45,11.36521,152.50604
2019-12,DC,District of Columbia,IND,industrial,1,8.19,1.27076,15.51163
2019-12,FL,Florida,IND,industrial,23305,7.42,98.2662,1324.33553
2008-08,WI,Wisconsin,IND,industrial,5680,6.82,148.45177,2176.97115
2008-08,WY,Wyoming,IND,industrial,9472,4.66,37.89384,813.65049
2008-08,NEW,New England,IND,industrial,28475,14.09,262.36897,1862.58499
2008-08,MAT,Middle Atlantic,IND,industrial,49558,8.9,548.06255,6160.0663
2009-10,WSC,West South Central,IND,industrial,196613,5.77,745.21014,12923.8131
2009-10,MTN,Mountain,IND,industrial,82961,6.26,393.48185,6289.05176
2010-10,MTN,Mountain,IND,industrial,82507,6.15,404.11589,6570.18486
2010-10,PACC,Pacific Contiguous,IND,industrial,122811,7.98,604.35512,7576.26278
2010-10,PACN,Pacific Noncontiguous,IND,industrial,1920,19.72,85.89083,435.59904
2010-10,US,U.S. Total,IND,industrial,730877,6.8,5580.30528,82080.65341
2010-11,MS,Mississippi,IND,industrial,6875,6.23,80.05456,1286.00939
2010-11,MO,Missouri,IND,industrial,8886,5.2,76.84736,1477.48122
2010-11,MT,Montana,IND,industrial,3709,5.47,19.46181,355.87962
2008-08,ENC,East North Central,IND,industrial,64272,6.69,1204.30358,17989.67958
2008-08,WNC,West North Central,IND,industrial,118508,6,473.07103,7879.47731
2008-08,SAT,South Atlantic,IND,industrial,80863,6.76,911.15578,13473.07934
2008-08,ESC,East South Central,IND,industrial,25823,6.26,663.1283,10595.10315
2008-08,WSC,West South Central,IND,industrial,235637,8.95,1321.42201,14761.96997
2008-08,MTN,Mountain,IND,industrial,85438,6.68,510.15196,7636.09737
2008-08,PACC,Pacific Contiguous,IND,industrial,136522,8.78,680.31748,7744.64777
2008-08,PACN,Pacific Noncontiguous,IND,industrial,2290,25.79,115.83004,449.20447
2008-08,US,U.S. Total,IND,industrial,827386,7.55,6689.81169,88551.91025
2008-09,ND,North Dakota,IND,industrial,2353,5.87,18.07161,307.90679
2009-10,ENC,East North Central,IND,industrial,61930,6.42,1038.27395,16183.45159
2009-10,WNC,West North Central,IND,industrial,81522,5.53,369.65974,6684.95889
2009-10,SAT,South Atlantic,IND,industrial,78367,6.59,747.66814,11338.80013
2009-10,ESC,East South Central,IND,industrial,25263,5.34,563.33135,10553.96926
2009-10,MAT,Middle Atlantic,IND,industrial,49414,8.05,446.69534,5550.23453
2008-03,MA,Massachusetts,IND,industrial,14174,13.53,98.05242,724.72742
2008-03,MI,Michigan,IND,industrial,13551,6.38,173.80023,2723.79967
2008-03,MN,Minnesota,IND,industrial,10734,5.67,112.09631,1978.59654
2008-03,MS,Mississippi,IND,industrial,7102,5.75,77.8645,1354.53289
2008-03,MO,Missouri,IND,industrial,9340,4.34,63.52257,1465.31353
2008-03,MT,Montana,IND,industrial,4733,6.02,27.50669,456.99485
2008-03,NE,Nebraska,IND,industrial,63930,5.41,39.93635,737.68136
2008-03,NV,Nevada,IND,industrial,3345,7.8,86.35622,1106.71628
2008-03,NH,New Hampshire,IND,industrial,3214,12.43,21.37447,171.97159
2008-03,NJ,New Jersey,IND,industrial,13414,11.74,103.84175,884.66209
2008-03,NM,New Mexico,IND,industrial,6330,5.65,30.96969,548.19713
2008-03,NY,New York,IND,industrial,8826,8.69,100.82384,1160.0388
2008-03,NC,North Carolina,IND,industrial,10645,5.2,119.3906,2297.26801
2008-03,ND,North Dakota,IND,industrial,2243,5.54,16.59393,299.47866
2008-03,OH,Ohio,IND,industrial,21245,5.97,300.46941,5031.60455
2008-03,OK,Oklahoma,IND,industrial,17578,5.23,67.21414,1286.28767
2008-03,OR,Oregon,IND,industrial,23408,5.06,53.94542,1066.37231
2008-03,PA,Pennsylvania,IND,industrial,27519,7.04,281.70858,4000.331
2008-03,RI,Rhode Island,IND,industrial,2080,14.64,9.68026,66.141
2008-03,SC,South Carolina,IND,industrial,4710,4.9,121.56795,2482.82776
2010-05,LA,Louisiana,IND,industrial,18123,5.66,135.04564,2387.39347
2010-05,ME,Maine,IND,industrial,2817,8.88,23.96729,270.01836
2010-05,MD,Maryland,IND,industrial,8680,9.35,42.95312,459.42306
2010-06,DC,District of Columbia,IND,industrial,1,8.05,1.83124,22.75674
2010-06,FL,Florida,IND,industrial,18211,8.89,137.26334,1544.45691
2010-06,GA,Georgia,IND,industrial,16046,6.73,182.27227,2707.8509
2010-11,WV,West Virginia,IND,industrial,12358,6.36,58.49539,920.43211
2010-11,WI,Wisconsin,IND,industrial,3976,6.8,126.90687,1866.263
2010-11,WY,Wyoming,IND,industrial,8669,5.02,43.7132,870.64516
2010-12,NE,Nebraska,IND,industrial,32650,5.53,45.16931,817.44154
2019-09,GA,Georgia,IND,industrial,24007,7.04,194.42126,2763.16982
2019-09,HI,Hawaii,IND,industrial,827,25.21,82.29145,326.4774
2019-09,ID,Idaho,IND,industrial,28715,6.14,48.51894,790.11293
2019-11,DE,Delaware,IND,industrial,864,7.57,13.26319,175.1561
2019-11,DC,District of Columbia,IND,industrial,1,8.24,1.35138,16.40951
2019-11,FL,Florida,IND,industrial,23421,7.82,103.08862,1318.20508
2019-12,CA,California,IND,industrial,150687,12.14,445.15804,3668.05577
2019-12,CO,Colorado,IND,industrial,14269,6.9,90.24116,1308.37188
2019-12,CT,Connecticut,IND,industrial,4142,13.29,28.78072,216.58007
2008-08,RI,Rhode Island,IND,industrial,2069,14.31,12.10325,84.57226
2008-08,SC,South Carolina,IND,industrial,4708,5.83,154.26759,2646.77385
2008-08,SD,South Dakota,IND,industrial,3599,5.41,12.02699,222.13714
2008-08,TN,Tennessee,IND,industrial,2045,6.41,176.55308,2756.29319
2008-08,TX,Texas,IND,industrial,160279,9.54,893.33299,9367.09887
2008-08,UT,Utah,IND,industrial,9524,5.06,40.17688,793.33195
2008-08,VT,Vermont,IND,industrial,311,9.11,11.89543,130.64357
2008-08,VA,Virginia,IND,industrial,5334,6.28,104.43253,1662.50048
2008-08,WA,Washington,IND,industrial,31405,4.7,89.58068,1905.36187
2008-08,WV,West Virginia,IND,industrial,12032,4.35,53.66727,1233.69074
2008-09,MS,Mississippi,IND,industrial,7644,7.03,93.97188,1336.68547
2008-09,MO,Missouri,IND,industrial,9327,5.31,83.00598,1561.78633
2008-09,MT,Montana,IND,industrial,7701,6.29,30.31095,482.19933
2008-09,NE,Nebraska,IND,industrial,64684,5.55,47.62721,857.6563
2008-09,NV,Nevada,IND,industrial,3859,8.5,99.05708,1165.69105
2008-09,NH,New Hampshire,IND,industrial,3638,13.79,24.4014,176.93574
2008-09,NJ,New Jersey,IND,industrial,13395,12.91,120.05232,929.70283
2008-09,NM,New Mexico,IND,industrial,6582,7.38,42.28932,572.93139
2008-09,NY,New York,IND,industrial,8640,9.95,131.23961,1318.39631
2008-09,NC,North Carolina,IND,industrial,11400,5.86,143.59385,2451.21388
2008-08,NY,New York,IND,industrial,8734,10.58,128.4851,1214.05111
2008-08,NC,North Carolina,IND,industrial,11224,5.88,151.33454,2573.08806
2008-08,ND,North Dakota,IND,industrial,2357,5.83,18.77916,322.0679
2008-10,CA,California,IND,industrial,77192,10.57,468.85504,4437.24377
2008-10,CO,Colorado,IND,industrial,13201,6.68,77.75555,1164.00637
2008-11,AK,Alaska,IND,industrial,1200,12.93,14.4051,111.38667
2008-10,CT,Connecticut,IND,industrial,5184,15.28,58.98514,386.0611
2008-10,DE,Delaware,IND,industrial,620,10.37,28.60615,275.76753
2008-10,DC,District of Columbia,IND,industrial,1,10.55,1.99894,18.94831
2008-10,FL,Florida,IND,industrial,21410,8.73,135.15062,1547.76434
2008-10,GA,Georgia,IND,industrial,15833,6.5,177.96377,2736.00177
2008-10,HI,Hawaii,IND,industrial,662,29.1,95.76989,329.11551
2008-11,AZ,Arizona,IND,industrial,7250,5.88,60.24866,1024.97766
2008-11,AR,Arkansas,IND,industrial,30993,5.85,76.14492,1300.84273
2008-11,CA,California,IND,industrial,76566,10.13,411.29535,4059.97884
2008-12,AL,Alabama,IND,industrial,9257,6.69,155.28284,2320.8385
2009-10,MN,Minnesota,IND,industrial,8587,6.07,104.91462,1729.34294
2009-10,MS,Mississippi,IND,industrial,6916,6.21,82.67519,1331.87303
2009-10,MO,Missouri,IND,industrial,8966,5.04,67.0359,1328.82801
2009-10,MT,Montana,IND,industrial,5618,5.5,21.25006,386.45393
2009-10,NE,Nebraska,IND,industrial,29652,5.58,44.00191,788.25785
2009-10,NV,Nevada,IND,industrial,3771,7.96,87.65694,1100.85599
2009-10,NH,New Hampshire,IND,industrial,3183,13.08,20.54113,157.02564
2009-10,NJ,New Jersey,IND,industrial,13478,11.67,81.11057,694.82384
2009-12,CT,Connecticut,IND,industrial,4934,14.31,41.18427,287.82693
2008-08,NJ,New Jersey,IND,industrial,13331,13.69,124.06556,906.33708
2008-08,NM,New Mexico,IND,industrial,6538,7.63,47.4022,621.47564
2008-09,ID,Idaho,IND,industrial,27395,5,42.199,844.64657
2008-09,IL,Illinois,IND,industrial,6014,7.64,296.456,3882.62765
2008-09,IN,Indiana,IND,industrial,18093,5.83,238.53726,4094.95203
2008-09,IA,Iowa,IND,industrial,7066,5.19,81.17767,1565.24677
2008-09,KS,Kansas,IND,industrial,19972,5.84,56.82995,973.54579
2008-09,KY,Kentucky,IND,industrial,6291,5.1,196.18319,3843.76657
2008-09,LA,Louisiana,IND,industrial,20106,9.06,211.67113,2336.68756
2008-09,ME,Maine,IND,industrial,2832,11.03,34.85639,316.00679
2008-09,MD,Maryland,IND,industrial,8478,10.95,50.79045,463.71219
2008-09,MA,Massachusetts,IND,industrial,13742,14.55,112.32639,772.0743
2008-09,MI,Michigan,IND,industrial,13489,6.97,200.6909,2878.25655
2008-09,MN,Minnesota,IND,industrial,10866,6.06,123.78324,2041.99598
2010-07,TX,Texas,IND,industrial,132934,6.54,600.64216,9185.31594
2010-07,UT,Utah,IND,industrial,9531,5.66,44.6514,788.51948
2010-07,VT,Vermont,IND,industrial,218,9.37,11.7086,125.00132
2010-07,VA,Virginia,IND,industrial,5820,6.89,110.93926,1609.32504
2010-07,WA,Washington,IND,industrial,33710,3.9,94.42289,2422.30034
2010-07,WV,West Virginia,IND,industrial,12374,6,58.40306,973.40275
2010-10,SAT,South Atlantic,IND,industrial,77211,6.51,753.41486,11572.69464
2010-10,ESC,East South Central,IND,industrial,22679,6.05,630.3784,10427.92813
2010-10,WSC,West South Central,IND,industrial,197947,6.15,835.28291,13589.03944
2010-10,OH,Ohio,IND,industrial,20628,6.64,298.02299,4490.74606
2010-10,OK,Oklahoma,IND,industrial,18346,5.36,66.43347,1238.55223
2010-11,HI,Hawaii,IND,industrial,684,22.58,68.9972,305.54598
2010-11,ID,Idaho,IND,industrial,25458,4.53,24.5489,542.18984
2010-11,IL,Illinois,IND,industrial,6029,6.6,230.39456,3492.67549
2010-11,IN,Indiana,IND,industrial,18787,6.26,238.21951,3803.21298
2010-11,IA,Iowa,IND,industrial,5974,4.88,80.3077,1644.61936
2010-12,AR,Arkansas,IND,industrial,30721,5.23,70.14236,1341.55704
2010-12,CA,California,IND,industrial,74200,8.59,356.82199,4153.63052
2010-07,WI,Wisconsin,IND,industrial,5436,7.12,154.26256,2166.95034
2010-07,WY,Wyoming,IND,industrial,9462,4.91,38.40826,782.67076
2010-12,ID,Idaho,IND,industrial,25537,4.53,25.18706,555.95624
2010-10,NE,Nebraska,IND,industrial,32461,5.87,47.70788,812.23684
2010-10,NV,Nevada,IND,industrial,3589,6.94,77.23583,1113.4428
2010-10,NH,New Hampshire,IND,industrial,3487,12.84,21.19303,165.03507
2010-10,NJ,New Jersey,IND,industrial,12921,10.76,80.4326,747.45477
2010-10,NM,New Mexico,IND,industrial,7388,5.96,34.76188,583.53867
2010-10,NY,New York,IND,industrial,8359,8.71,97.3276,1117.01476
2010-10,NC,North Carolina,IND,industrial,10946,6.15,134.13535,2181.86732
2010-10,ND,North Dakota,IND,industrial,2628,5.84,19.45336,332.90355
2008-10,AK,Alaska,IND,industrial,1230,13.14,15.44417,117.57281
2008-10,AZ,Arizona,IND,industrial,7303,6.63,73.44986,1108.19753
2008-10,AR,Arkansas,IND,industrial,34421,5.83,79.83656,1370.43906
2008-11,AL,Alabama,IND,industrial,9346,7.01,181.08965,2582.55211
2010-11,NE,Nebraska,IND,industrial,30797,5.38,45.60808,848.5054
2010-12,DE,Delaware,IND,industrial,1214,9.72,19.32857,198.84412
2010-12,DC,District of Columbia,IND,industrial,1,9.18,1.95407,21.28668
2010-12,FL,Florida,IND,industrial,18148,9.15,129.89922,1419.81022
2010-12,GA,Georgia,IND,industrial,15854,6.46,159.68313,2470.0783
2010-12,HI,Hawaii,IND,industrial,675,22.57,68.72778,304.54332
2010-05,IA,Iowa,IND,industrial,6031,5.2,84.18843,1620.36417
